Show,Sentiment,Review
Bridgerton,1,"Still beautiful, still fun and still excellent."
The Crown,1,Sheesh. It's still a great watch.
The Staircase,1,It makes for very powerful TV.
Chernobyl,1,A riveting showcase for sheer storytelling craft ... Chernobyl is great TV - some of this year's best.
Only Murders in the Building,1,"Still fun, still the same."
Stranger Things,1,Best season yet.
Severance,1,"With Severance, Apple has the best new show on television, an addictive, dark comedydrama that delivers a fascinating, weird, and haunting deep dive into our psyche that makes us beg for more."
Marvel's Daredevil,1,"Vincent D'Onofrio continues to give a rich, powerful, and intense performance as Fisk. Many say that he is one of the best comic book villains in the MCU and I would argue he's one of the best in the superhero genre."
Peaky Blinders,1,"The beginning of the end of one of the great British TV drama achievements of recent years is as movingly intimate, cinematically ambitious and sweepingly epic as ever."
Love Life,1,"Marcus doesn't always get it right, but this season of Love Life is sharp, funny and insightful, and Harper gives a terrific performance."
Boardwalk Empire,1,"It's been a great ride, even with the misfires of Seasons 4 and 5."
Love Life,1,"Love Life returns for a new season, different characters and a different story, and it is formidably good and engaging."
The Great,1,"Clever, irreverent, and touching, Season 2 establishes The Great as one of the best comedies on television right now. It strikes a perfect balance between humor and heartbreak -- a masterful feat."
Physical,1,"Byrne continues to prove that she is one of our very best actresses today, navigating a complex part, one that calls for her to be funny, fierce, and at times, frightening. It’s an awards-worthy performance, as is the ensemble, as is the show."
The Staircase,1,"Also starring Michael Stuhlberg, Juliette Binoche and Rosemarie DeWitt, this is a fascinating portrait of grief and perspectives as well as an intriguing whodunit."
Stranger Things,1,"Fun, engrossing, full of jump scares and nostalgic adventure, continues to be one of the best Netflix productions. Full review in Spanish."
Pachinko,1,"An epic, breathtaking multigenerational family drama, Pachinko will grab your heart and make it feel full. This is a love letter for immigrants everywhere, but especially for the Koreans living in Japan."
Fleabag,1,It's one of the best seasons of TV I've seen in ages.
Review,1,"Review remains one of the most entertaining, and occasionally quite moving, shows on television."
RENO 911!,1,A perfect balance between vulgarity and smart humor. [Full Review in Spanish]
The Gilded Age,1,The Gilded Age is easily the best new series of 2022 and sets a high bar for shows that will follow.
The Great,1,"There are still plenty of thrilling zingers and visuals, but The Great blossoms into a show with a big heart and, inevitably, heartbreak for its protagonists and viewers."
WandaVision,1,"WandaVision shows that Marvel still has the power to surprise us and proves we can expect big, weird things from Phase 4. [Full review in Spanish]"
The Night Of,1,"It is Agatha Christie meets The Wire, and it's one of the best things on TV in an already-great year."
Stranger Things,1,"Stranger Things season four might be unwieldy and imperfect, but it’s also absorbing in its scale and creativity. It's about as big as event TV gets."
True Detective,1,"Pizzolatto also came up with an engrossing and very haunting slow-burn mystery that reaffirmed his place as one of the most exciting writers working in entertainment today. Hopefully, he gets to keep making this show for years to come..."
Inventing Anna,1,"It is one of those shows that plunges you straight into the heartless world of the very, very rich and it is fascinating."
