name,path,size,file_or_dir
csv_to_json.py,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,1980,file
csv_to_pickle.py,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,861,file
data.json,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,171,file
direct_info.py,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,4051,file
file_out.csv,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,118,file
get_from_user.py,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,2370,file
json_in.csv,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,294,file
json_in.pickle,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,303,file
json_to_csv.py,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,1191,file
json_to_pickle.py,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,785,file
main.py,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,809,file
name.csv,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,0,file
name.json,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,0,file
name.pickle,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,0,file
pickle_to_csv.py,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,1103,file
README.md,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,1249,file
task_3.json,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,297,file
txt_to_json.py,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,1082,file
__init__.py,C:\Users\BETEPOK\Documents\Tech_Specialty\Diving_Python\HW_8,218,file
